tag_id,tag
1,Action
2,FPS
3,Puzzle
4,Free to Play
5,Zombies
6,Indie
7,World War II
8,Strategy
9,Hacking
10,Turn-Based Strategy
11,Simulation
12,RPG
13,Animation & Modeling
14,Classic
15,Multiplayer
16,Casual
17,Western
18,Space
19,Racing
20,Tower Defense
21,Base-Building
22,Platformer
23,Pirates
24,Sandbox
25,Card Game
26,Atmospheric
27,Horror
28,Star Wars
29,Adventure
30,Stealth
31,Cyberpunk
32,Open World
33,Arcade
34,Warhammer 40K
35,Anime
36,Sports
37,Gore
38,Noir
39,Tactical
40,Early Access
41,City Builder
42,Parkour
43,Great Soundtrack
44,LEGO
45,Fighting
46,Comedy
47,Metroidvania
48,Grand Strategy
49,Walking Simulator
50,Bowling
51,Point & Click
52,God Game
53,Sniper
54,Cult Classic
55,Realistic
56,Surreal
57,Time Management
58,Hidden Object
59,Post-apocalyptic
60,JRPG
61,MMORPG
62,Family Friendly
63,Mechs
64,Medieval
65,Music
66,Story Rich
67,Cold War
68,Dinosaurs
69,Capitalism
70,Pinball
71,Rhythm
72,Lemmings
73,Bullet Hell
74,Shoot 'Em Up
75,Local Multiplayer
76,Co-op
77,Rogue-like
78,Board Game
79,Detective
80,Pixel Graphics
81,MOBA
82,Utilities
83,Movie
84,Dungeon Crawler
85,Batman
86,Steampunk
87,Dog
88,Visual Novel
89,Survival
90,Short
91,Exploration
92,Action RPG
93,Game Development
94,Difficult
95,Massively Multiplayer
96,Dark Humor
97,Female Protagonist
98,Motocross
99,Sci-fi
100,Match 3
101,Beat 'em up
102,Web Publishing
103,Magic
104,World War I
105,Typing
106,Hack and Slash
107,Twin Stick Shooter
108,Retro
109,Local Co-Op
110,3D Platformer
111,Inventory Management
112,Mystery
113,Benchmark
114,Turn-Based Combat
115,Audio Production
116,Intentionally Awkward Controls
117,Funny
118,PvP
119,Souls-like
120,Choose Your Own Adventure
121,VR
122,Software
123,Education
124,America
125,Skateboarding
126,RPGMaker
127,Chess
128,Turn-Based
129,Vampire
130,Design & Illustration
131,On-Rails Shooter
132,Building
133,Choices Matter
134,Golf
135,Software Training
136,Documentary
137,Shooter
138,Hockey
139,Quick-Time Events
140,Otome
141,FMV
142,Survival Horror
143,Character Customization
144,Baseball
145,Fishing
146,Nudity
147,Puzzle-Platformer
148,Arena Shooter
149,Word Game
150,Management
151,Football
152,Wrestling
153,Tennis
154,Sokoban
155,Memes
156,Illuminati
157,Dragons
158,Assassin
159,Interactive Fiction
160,Space Sim
161,Crime
162,Psychological Horror
163,Clicker
164,Horses
165,Flight
166,4 Player Local
167,Programming
168,Spelling
169,Dark Fantasy
170,Violent
171,Relaxing
172,Sexual Content
173,Basketball
174,Cats
175,Cute
176,Rogue-lite
177,Lovecraftian
178,Strategy RPG
179,Trading Card Game
180,Mature
181,Video Production
182,1980s
183,Tanks
184,Driving
185,2D Fighter
186,4X
187,First-Person
188,Dating Sim
189,Hunting
190,Turn-Based Tactics
191,Top-Down Shooter
192,Crafting
193,Bikes
194,Mini Golf
195,Wargame
196,Romance
197,Historical
198,Singleplayer
199,Destruction
200,Offroad
201,Hand-drawn
202,2D
203,Snow
204,Battle Royale
205,1990's
206,Motorbike
